entity_index,news_index
0,6
0,7
0,8
0,9
0,10
0,12
0,13
0,14
0,15
0,17
0,18
0,19
0,20
0,21
0,22
0,24
0,25
0,26
0,27
0,28
0,29
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,46
0,47
0,48
0,49
0,50
0,51
0,54
0,59
0,61
0,68
0,70
0,72
0,75
1,5
1,7
1,10
1,13
1,15
1,19
1,20
1,21
1,22
1,24
1,25
1,26
1,28
1,30
1,32
1,34
1,36
1,37
1,38
1,39
1,41
1,42
1,43
1,44
1,48
1,49
1,50
1,51
1,52
1,53
1,54
1,58
1,61
1,69
1,72
1,75
2,13
2,19
2,21
2,22
2,25
2,32
2,35
2,48
2,49
3,43
3,52
3,75
4,25
4,41
5,15
5,25
5,27
5,28
6,7
6,14
6,19
6,28
6,43
6,52
6,75
7,10
7,18
7,36
7,42
8,7
8,38
9,10
9,18
9,36
9,42
9,43
10,9
11,55
12,39
12,40
13,19
13,69
14,37
