0	
1	0 
2	1->6 1->58 1->65 
3	
4	2->25 
5	
6	
7	
8	
9	3 
10	
11	
12	
13	
14	
15	4->5 
16	5 
17	
18	6->24 6->64 6->65 
19	
20	
21	
22	7 8 9->7 9->10 9->11 9->12 9->13 9->14 9->15 9->16 9->19 9->20 9->22 9->23 9->24 9->25 9->26 9->27 9->28 9->30 9->31 9->32 9->33 9->34 9->35 9->36 9->37 9->41 9->42 9->43 9->45 9->47 9->48 9->52 9->53 9->54 9->58 9->59 9->68 9->69 9->70 9->71 10 11->13 12->24 13->11 14 15 16->9 16->10 16->11 16->12 16->13 16->14 16->15 16->19 16->20 16->22 16->23 16->24 16->25 16->26 16->27 16->28 16->30 16->31 16->32 16->33 16->34 16->35 16->36 16->37 16->41 16->42 16->43 16->45 16->47 16->48 16->52 16->53 16->58 16->59 16->68 16->69 16->71 17 
23	18->23 18->29 18->31 18->34 18->42 19 20 21->66 21->67 22 23->18 23->29 23->34 23->42 24->45 25 26 27 28 29->18 29->23 29->31 29->34 29->42 30 
24	31 32 
25	33 34 35 36 37 38 39->58 
26	40->41 40->43 40->52 40->53 40->54 40->58 41 42 43->52 44 45 46->52 47 
27	48 49 
28	50 
29	51 52 53 
30	54 
31	55 
32	56 
33	57 
34	58 
35	59 
36	60 
37	
38	
39	61->62 
40	62 
41	63 
42	
43	64 
44	65->73 
45	66->67 
46	67 
47	
48	
49	
50	
51	
52	
53	
54	68 
55	
56	
57	
58	
59	69 
60	
61	70->72 
62	71 
63	72 
64	
65	
66	
67	73 
68	
69	74 
70	75 
71	
72	
73	
74	76 
