position_1,position_2,weight
0,2,1
1,6,1
2,25,1
4,5,2
5,52,1
6,65,2
8,52,1
9,30,2
9,13,2
9,25,2
9,52,2
9,15,2
9,47,2
9,28,2
9,20,2
9,35,2
9,24,2
9,19,2
9,43,2
9,42,2
9,11,2
9,10,2
9,34,2
9,37,2
9,27,2
9,53,2
9,58,2
9,12,2
9,16,2
11,13,2
12,55,1
13,11,2
16,30,2
16,52,2
16,13,2
16,28,2
16,58,2
16,9,2
16,25,2
16,15,2
16,20,2
16,10,2
16,35,2
16,47,2
16,42,2
16,19,2
16,59,2
16,27,2
16,43,2
16,32,2
16,53,2
16,24,2
17,58,1
18,29,2
18,42,2
18,23,2
21,67,2
23,42,2
24,45,1
25,30,1
27,30,1
29,18,2
29,42,2
29,23,2
33,53,1
37,58,1
39,58,1
40,52,2
40,41,2
42,69,1
43,52,2
45,65,1
46,52,1
52,75,1
58,71,1
61,62,1
65,73,1
66,67,2
69,73,1
70,72,2
