2015-12-13	0	0	0
2015-12-14	0	0	0
2015-12-15	0	0	1
2015-12-16	0	0	0
2015-12-17	0	0	0
2015-12-18	0	0	0
2015-12-19	0	0	0
2015-12-20	0	0	0
2015-12-21	0	0	0
2015-12-22	0	0	0
2015-12-23	0	0	0
2015-12-24	0	0	0
2015-12-25	0	0	0
2015-12-26	0	0	0
2015-12-27	0	0	0
2015-12-28	2	2	3
2015-12-29	0	0	3
2015-12-30	0	0	0
2015-12-31	1	0	1
2016-01-01	0	0	0
2016-01-02	0	0	0
2016-01-03	0	0	0
2016-01-04	401	333	877
2016-01-05	271	248	482
2016-01-06	24	10	36
2016-01-07	754	622	1292
2016-01-08	466	342	865
2016-01-09	135	143	283
2016-01-10	91	92	162
2016-01-11	108	95	195
2016-01-12	24	26	41
2016-01-13	7	4	7
2016-01-14	6	6	12
2016-01-15	1	3	6
2016-01-16	0	3	3
2016-01-17	1	2	0
2016-01-18	1	3	0
2016-01-19	0	0	0
2016-01-20	0	0	1
2016-01-21	12	11	22
2016-01-22	1	0	1
2016-01-23	1	0	0
2016-01-24	0	0	0
2016-01-25	0	0	1
2016-01-26	0	3	4
2016-01-27	1	1	3
2016-01-28	0	0	0
2016-01-29	0	0	1
2016-01-30	0	0	1
2016-01-31	0	0	0
2016-02-01	0	0	0
2016-02-02	0	0	0
2016-02-03	0	0	0
2016-02-04	0	1	0
2016-02-05	0	0	1
2016-02-06	0	0	0
2016-02-07	0	0	0
2016-02-08	0	0	0
2016-02-09	0	0	0
2016-02-10	17	16	36
2016-02-11	9	7	18
2016-02-12	35	32	90
2016-02-13	2	0	2
2016-02-14	3	0	7
2016-02-15	0	0	1
2016-02-16	0	0	0
2016-02-17	0	0	0
2016-02-18	47	32	48
2016-02-19	4	3	6
2016-02-20	1	0	0
2016-02-21	30	21	41
2016-02-22	12	5	13
2016-02-23	0	0	0
2016-02-24	0	0	0
2016-02-25	0	0	1
